ts,size,n,m,p,totaltime
1717076817213,2,10,10,10,176
1717076824383,2,10,10,10,175
1717076870394,2,10,10,10,174
1717076891294,2,10,10,10,175
1717077023684,2,10,10,10,187
1717077029641,2,10,10,10,176
1717077032619,2,10,10,10,174
1717077035252,2,10,10,10,179
1717077037712,2,10,10,10,175
1717077046310,2,10,10,10,174
1717077048649,2,10,10,10,175
1717077051108,2,10,10,10,177
1717077053655,2,10,10,10,174
1717077056102,2,10,10,10,174
1717077058690,2,10,10,10,176
1717077060734,2,10,10,10,177
1717077259551,2,10,10,10,174
1717077260674,2,10,10,10,175
1717077261819,2,10,10,10,174
1717077262944,2,10,10,10,176
1717077264072,2,10,10,10,177
1717077265224,2,10,10,10,181
1717077266358,2,10,10,10,176
1717077267527,2,10,10,10,173
1717077268650,2,10,10,10,174
1717077269803,2,10,10,10,175
1717077270929,2,10,10,10,174
1717077272059,2,10,10,10,174
1717077273188,2,10,10,10,174
1717077274311,2,10,10,10,174
1717077275469,2,10,10,10,175
1717077276598,2,10,10,10,174
1717077277723,2,10,10,10,175
1717077278853,2,10,10,10,176
1717077280007,2,10,10,10,175
1717077281130,2,10,10,10,175
1717077282262,2,10,10,10,175
1717077283389,2,10,10,10,176
1717077284517,2,10,10,10,174
1717077285673,2,10,10,10,174
1717077286803,2,10,10,10,175
1717077287930,2,10,10,10,174
1717077289057,2,10,10,10,174
1717077290208,2,10,10,10,175
1717077291341,2,10,10,10,176
1717077292465,2,10,10,10,174
1717077293600,2,10,10,10,174
1717077294732,2,10,10,10,173
1717077295882,2,10,10,10,174
1717077297009,2,10,10,10,176
1717077298135,2,10,10,10,176
1717077299265,2,10,10,10,174
1717077300455,2,10,10,10,178
1717077301599,2,10,10,10,174
1717077302729,2,10,10,10,174
1717077303863,2,10,10,10,174
1717077304990,2,10,10,10,175
1717077306146,2,10,10,10,175
1717077307279,2,10,10,10,175
1717077308408,2,10,10,10,177
1717077309546,2,10,10,10,175
1717077310705,2,10,10,10,173
1717077311831,2,10,10,10,175
1717077312963,2,10,10,10,176
1717077314102,2,10,10,10,174
1717077315227,2,10,10,10,179
1717077316403,2,10,10,10,176
1717077317542,2,10,10,10,177
1717077318676,2,10,10,10,174
1717077319801,2,10,10,10,175
1717077320945,2,10,10,10,174
1717077322092,2,10,10,10,176
1717077323229,2,10,10,10,174
1717077324382,2,10,10,10,178
1717077325523,2,10,10,10,174
1717077326686,2,10,10,10,176
1717077327855,2,10,10,10,176
1717077329001,2,10,10,10,173
1717077330153,2,10,10,10,177
1717077331348,2,10,10,10,175
1717077332486,2,10,10,10,192
1717077333649,2,10,10,10,192
1717077334843,2,10,10,10,176
1717077335974,2,10,10,10,226
1717077337160,2,10,10,10,176
1717077338298,2,10,10,10,176
1717077339427,2,10,10,10,176
1717077340557,2,10,10,10,174
1717077341732,2,10,10,10,175
1717077342866,2,10,10,10,175
1717077343996,2,10,10,10,176
1717077345127,2,10,10,10,174
1717077346255,2,10,10,10,174
1717077347426,2,10,10,10,174
1717077348553,2,10,10,10,173
1717077349683,2,10,10,10,174
1717077350813,2,10,10,10,175
1717077351982,2,10,10,10,176
1717077353117,2,10,10,10,174
1717077354249,2,10,10,10,175
1717077355380,2,10,10,10,172
1717077462413,4,10,10,10,226
1717077464009,4,10,10,10,258
1717077465653,4,10,10,10,232
1717077467265,4,10,10,10,229
1717077468873,4,10,10,10,203
1717077470497,4,10,10,10,224
1717077472101,4,10,10,10,231
1717077473721,4,10,10,10,233
1717077475357,4,10,10,10,230
1717077476945,4,10,10,10,224
1717077478545,4,10,10,10,230
1717077480149,4,10,10,10,231
1717077481789,4,10,10,10,228
1717077483417,4,10,10,10,227
1717077485045,4,10,10,10,272
1717077486713,4,10,10,10,229
1717077488317,4,10,10,10,203
1717077489969,4,10,10,10,238
1717077491593,4,10,10,10,221
1717077493197,4,10,10,10,194
1717077494793,4,10,10,10,205
1717077496401,4,10,10,10,235
1717077498073,4,10,10,10,234
1717077499765,4,10,10,10,229
1717077501581,4,10,10,10,237
1717077503260,4,10,10,10,234
1717077505009,4,10,10,10,230
1717077506697,4,10,10,10,269
1717077508524,4,10,10,10,304
1717077510369,4,10,10,10,256
1717077512106,4,10,10,10,241
1717077513901,4,10,10,10,238
1717077515661,4,10,10,10,241
1717077517461,4,10,10,10,212
1717077519195,4,10,10,10,260
1717077520990,4,10,10,10,240
1717077522817,4,10,10,10,259
1717077524542,4,10,10,10,235
1717077526343,4,10,10,10,244
1717077528056,4,10,10,10,232
1717077529820,4,10,10,10,254
1717077531545,4,10,10,10,274
1717077533311,4,10,10,10,219
1717077535145,4,10,10,10,226
1717077536911,4,10,10,10,211
1717077538662,4,10,10,10,268
1717077540425,4,10,10,10,229
1717077542209,4,10,10,10,298
1717077544001,4,10,10,10,267
1717077545669,4,10,10,10,263
1717077547381,4,10,10,10,270
1717077549121,4,10,10,10,249
1717077550849,4,10,10,10,233
1717077552517,4,10,10,10,238
1717077554177,4,10,10,10,225
1717077555812,4,10,10,10,227
1717077557461,4,10,10,10,246
1717077559209,4,10,10,10,207
1717077560832,4,10,10,10,211
1717077562525,4,10,10,10,211
1717077564269,4,10,10,10,246
1717077565920,4,10,10,10,216
1717077567575,4,10,10,10,229
1717077569309,4,10,10,10,312
1717077571037,4,10,10,10,210
1717077572688,4,10,10,10,218
1717077574373,4,10,10,10,307
1717077576077,4,10,10,10,238
1717077577781,4,10,10,10,275
1717077579463,4,10,10,10,233
1717077581193,4,10,10,10,223
1717077582877,4,10,10,10,234
1717077584519,4,10,10,10,269
1717077586273,4,10,10,10,257
1717077587969,4,10,10,10,234
1717077589675,4,10,10,10,234
1717077591389,4,10,10,10,229
1717077593089,4,10,10,10,233
1717077594785,4,10,10,10,236
1717077596480,4,10,10,10,265
1717077598189,4,10,10,10,217
1717077599861,4,10,10,10,232
1717077601587,4,10,10,10,284
1717077603289,4,10,10,10,248
1717077605041,4,10,10,10,234
1717077606897,4,10,10,10,236
1717077608668,4,10,10,10,220
1717077610402,4,10,10,10,260
1717077612165,4,10,10,10,258
1717077613909,4,10,10,10,233
1717077615661,4,10,10,10,254
1717077617405,4,10,10,10,217
1717077619140,4,10,10,10,254
1717077620982,4,10,10,10,234
1717077622799,4,10,10,10,247
1717077624573,4,10,10,10,238
1717077626369,4,10,10,10,258
1717077628116,4,10,10,10,268
1717077629981,4,10,10,10,231
1717077631781,4,10,10,10,241
1717077721345,3,10,10,10,171
1717077722717,3,10,10,10,212
1717077724109,3,10,10,10,170
1717077725493,3,10,10,10,239
1717077726921,3,10,10,10,215
1717077728301,3,10,10,10,171
1717077729665,3,10,10,10,216
1717077731097,3,10,10,10,211
1717077732481,3,10,10,10,213
1717077733840,3,10,10,10,212
1717077735253,3,10,10,10,212
1717077736669,3,10,10,10,171
1717077738049,3,10,10,10,170
1717077739409,3,10,10,10,208
1717077740781,3,10,10,10,215
1717077742175,3,10,10,10,209
1717077743537,3,10,10,10,210
1717077744913,3,10,10,10,215
1717077746453,3,10,10,10,171
1717077747809,3,10,10,10,211
1717077749181,3,10,10,10,167
1717077750541,3,10,10,10,216
1717077752001,3,10,10,10,216
1717077753377,3,10,10,10,211
1717077754753,3,10,10,10,212
1717077756125,3,10,10,10,293
1717077757589,3,10,10,10,211
1717077758953,3,10,10,10,171
1717077760321,3,10,10,10,212
1717077761715,3,10,10,10,210
